# Frozen reference-set manifest — per-member, packaging-independent.
# Regenerate ONLY by decision recorded in STATE.md:
#   python3 tools/audit_roms.py $ROMDIR --freeze
# path  size  crc32  sha1
vsav2.zip/vs2.14m  4194304  cd09bd63  e582b20a948ae54f52590496051688dbfae2bc9c
vsav2.zip/vs2.15m  4194304  a20f58af  e873ad3e0fc8a06a5029113faf991f5c1b765316
vsav2.zip/vs2.16m  4194304  e0182c15  a924d53ab39f4d85173bdb92a197dde2db0dc3f7
vsav2.zip/vs2.17m  4194304  39db59ad  da94f1529da82a6bf2129f51548412e1ab2b001a
vsav2.zip/vs2.18m  4194304  778dc4f6  8d0cd1c387b4b6ac7f92bb2e5a25983856328cdc
vsav2.zip/vs2.19m  4194304  00c763a7  0ff528e12e255ebf699101ac71f05b1f6bef7165
vsav2.zip/vs2.20m  4194304  605d9d1d  99bc27557741527ca678d7b6307164bc04ebedc6
vsav2.zip/vs2j.03  524288  89fd86b4  a52f40618d7f12f1df5862ad8e15fea60bef22a2
vsav2.zip/vs2j.04  524288  107c091b  bf5c2e4339e1a66b3c819900cc9b723a537adf6b
vsav2.zip/vs2j.05  524288  61979638  4d5625a9a06926c1a42c8f6e3a4c943f17750ec2
vsav2.zip/vs2j.06  524288  f37c5bc2  d8c1040a6ee6b9fc677a6a32b99bf02b6a707812
vsav2.zip/vs2j.07  524288  8f885809  69dac07e1f483b6478f792d20a137d6a081fbea3
vsav2.zip/vs2j.08  524288  2018c120  de1184ab771c6f075cdefa744a28b09f78d91643
vsav2.zip/vs2j.09  524288  fac3c217  0e9dd54e401e6d7c4fe81107ffd27e42ca810fcb
vsav2.zip/vs2j.10  524288  eb490213  bf0416df66a33c7a4678ab4a047de334dfd3b31e
vsav2.zip/vsav2.key  20  289028ce  35779f0284dc15591493c8ec75ecda801148f3e0
vsavj.zip/vm3j.03d  524288  2a2e74a4  e9e7bce3c2ad0c9eebcbcd5139979d1fa19187ad
vsavj.zip/vm3j.04d  524288  1c2427bc  9047ac0ccd875d91a8ceafdf1ccf9d21c4c71644
vsavj.zip/vm3j.05a  524288  95ce88d5  ba5e64c2551d97a71d2f4d7a78663aede4b722e8
vsavj.zip/vm3j.06b  524288  2c4297e0  3a7103456ba3937f63c28dd42020cac1955b5741
vsavj.zip/vm3j.07b  524288  a38aaae7  0a5719eb2b0bbde955f605b1057ed6a8eb54ad80
vsavj.zip/vm3j.08a  524288  5773e5c9  551afc5d921f9ef1fe928ca83d072b6a6105ab0e
vsavj.zip/vm3j.09b  524288  d064f8b9  09f77f7b466c147a5d894a4ec3b40bd068dfab26
vsavj.zip/vm3j.10b  524288  434518e9  ce1c8557a9e6c5451ab41a96f01b0cd4ba02ea3e
vsavj.zip/vsavj.key  20  36d28ab8  7de11dbe4a7ea0e8b68ab332f80e32cb6c1bf48e
