frame 1370 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1372 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1374 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1376 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1378 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1380 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1382 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1384 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1386 PC 019cf2 D0 0000e07d D1 00002050 A0 002a672a A1 003037b8 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1388 PC 019cf2 D0 0000e055 D1 00002050 A0 002a6788 A1 00303734 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffbd00
frame 1390 PC 019cf2 D0 0000e055 D1 00002050 A0 002a6788 A1 00303734 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffbd00
frame 1392 PC 019cf2 D0 0000e055 D1 00002050 A0 002a6788 A1 00303734 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffbd00
frame 1394 PC 019cf2 D0 0000e055 D1 00002050 A0 002a6788 A1 00303734 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffbd00
frame 1396 PC 019cf2 D0 0000e055 D1 00002050 A0 002a6788 A1 00303734 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffbd00
frame 1398 PC 019cf2 D0 0000e08d D1 00002050 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffd880
frame 1400 PC 019cf2 D0 0000e055 D1 00002050 A0 002a6788 A1 00303734 A2 00708380 A3 00ff31ec A4 ffffbd00 A6 ffffbd00
frame 1402 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1404 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1406 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1408 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1410 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1412 PC 019cf2 D0 0000e06d D1 00002068 A0 002a6726 A1 003037b4 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1414 PC 019cf2 D0 0000e06d D1 00002068 A0 002a6726 A1 003037b4 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1416 PC 019cf2 D0 0000e06d D1 00002068 A0 002a6726 A1 003037b4 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1418 PC 019cf2 D0 0000e06d D1 00002068 A0 002a6726 A1 003037b4 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1420 PC 019cf2 D0 0000e06d D1 00002068 A0 002a6726 A1 003037b4 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1422 PC 019cf2 D0 0000e183 D1 00002020 A0 002a6726 A1 003037b4 A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1424 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1426 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1428 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1430 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1432 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1434 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1436 PC 019674 D0 00000000 D1 00002020 A0 002a675e A1 00303738 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1438 PC 019674 D0 00000000 D1 00002020 A0 002a675e A1 00303738 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1440 PC 019674 D0 00000000 D1 00002020 A0 002a675e A1 00303738 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1442 PC 019674 D0 00000000 D1 00002020 A0 002a6750 A1 00303738 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1444 PC 019674 D0 00000000 D1 00002020 A0 002a6750 A1 00303738 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1446 PC 019674 D0 00000000 D1 00002020 A0 002a6750 A1 00303738 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1448 PC 019cf2 D0 0000e04d D1 00002068 A0 002a671e A1 003037ac A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1450 PC 019cf2 D0 0000e04d D1 00002068 A0 002a671e A1 003037ac A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1452 PC 019cf2 D0 0000e04d D1 00002068 A0 002a671e A1 003037ac A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1454 PC 019cf2 D0 0000e04d D1 00002068 A0 002a671e A1 003037ac A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1456 PC 019cf2 D0 0000e04d D1 00002068 A0 002a671e A1 003037ac A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1458 PC 019cf2 D0 0000e04d D1 00002068 A0 002a671e A1 003037ac A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1460 PC 019a54 D0 0000e163 D1 00002020 A0 002a673a A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1462 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1464 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
frame 1466 PC 019cf2 D0 0000e163 D1 00002020 A0 002a671e A1 003037ac A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffda00
