replay	leg	verdict
40_victor_5hp_defaultchar_vsavj	13	END 3320
40_victor_5hp_defaultchar_vsavj	none	END 3320
41_don_altcolor_vsav2	10	END 4220
41_don_altcolor_vsav2	11	END 4220
41_don_altcolor_vsav2	13	END 4220
41_don_altcolor_vsav2	none	END 4220
41_don_altcolor_vsavj	10	END 4220
41_don_altcolor_vsavj	11	END 4220
41_don_altcolor_vsavj	13	END 4220
41_don_altcolor_vsavj	none	END 4220
42_don_mirror_vsavj	10	END 4220
42_don_mirror_vsavj	11	END 4220
42_don_mirror_vsavj	13	END 4220
42_don_mirror_vsavj	none	END 4220
43_don_mirror_vsav2	10	END 4220
43_don_mirror_vsav2	11	END 4220
43_don_mirror_vsav2	13	END 4220
43_don_mirror_vsav2	none	END 4220
44_don_select_hover	10	END 2570
44_don_select_hover	11	END 2570
44_don_select_hover	13	END 2570
44_don_select_hover	none	END 2570
48_don_immortal_ko	10	END 3520
48_don_immortal_ko	11	END 3520
48_don_immortal_ko	13	END 3520
48_don_immortal_ko	none	END 3520
50_don_column_ko	10	END 3520
50_don_column_ko	11	END 3520
50_don_column_ko	13	END 3520
50_don_column_ko	none	END 3520
51_vs2_immortal_native	10	END 3520
51_vs2_immortal_native	11	END 3520
51_vs2_immortal_native	13	END 3520
51_vs2_immortal_native	none	END 3520
52_vs2_immortal_mash	10	END 3520
52_vs2_immortal_mash	11	END 3520
52_vs2_immortal_mash	13	END 3520
52_vs2_immortal_mash	none	END 3520
53_don_immortal_mash	10	END 3520
53_don_immortal_mash	11	END 3520
53_don_immortal_mash	13	END 3520
53_don_immortal_mash	none	END 3520
54_don_matchend_ko	10	END 3920
54_don_matchend_ko	11	END 3920
54_don_matchend_ko	13	END 3920
54_don_matchend_ko	none	END 3920
56_don_es_ls	10	END 3520
56_don_es_ls	11	END 3520
56_don_es_ls	13	END 3520
56_don_es_ls	none	END 3520
57_vs2_plant_native	10	END 3520
57_vs2_plant_native	11	END 3520
57_vs2_plant_native	13	END 3520
57_vs2_plant_native	none	END 3520
58_don_select_confirm	10	END 2320
58_don_select_confirm	11	END 2320
58_don_select_confirm	13	END 2320
58_don_select_confirm	none	END 2320
59_don_blizzard_hcf	10	END 3220
59_don_blizzard_hcf	11	END 3220
59_don_blizzard_hcf	13	END 3220
59_don_blizzard_hcf	none	END 3220
60_don_grapple_hcb	10	END 3320
60_don_grapple_hcb	11	END 3320
60_don_grapple_hcb	13	END 3320
60_don_grapple_hcb	none	END 3320
61_tenant_2pwin	10	END 9620
61_tenant_2pwin	11	END 9620
61_tenant_2pwin	13	END 9620
61_tenant_2pwin	none	END 9620
62_tenant_2plose	10	END 9620
62_tenant_2plose	11	END 9620
62_tenant_2plose	13	END 9620
62_tenant_2plose	none	END 9620
63_idle_select	10	END 4320
63_idle_select	11	END 4320
63_idle_select	13	END 4320
63_idle_select	none	END 4320
64_select_mashright	10	END 2520
64_select_mashright	11	END 2520
64_select_mashright	13	END 2520
64_select_mashright	none	END 2520
65_don_mirror_throw	10	END 4520
65_don_mirror_throw	11	END 4520
65_don_mirror_throw	13	END 4520
65_don_mirror_throw	none	END 4520
92_p2_ring_walk	10	END 1820
92_p2_ring_walk	11	END 1820
92_p2_ring_walk	13	END 1820
92_p2_ring_walk	none	END 1820
94_tenant_vs_tenant	10	END 4520
94_tenant_vs_tenant	11	END 4520
94_tenant_vs_tenant	13	END 4520
94_tenant_vs_tenant	none	END 4520
96_don_victor_grab	10	END 5520
96_don_victor_grab	11	END 5520
96_don_victor_grab	13	END 5520
96_don_victor_grab	none	END 5520
